frame_id,frame_zipfile_path,roi_feature_name,roi_id,roi_label,roi_label_threshold_based,video_id,video_roi_embedding_path,xmax,xmin,ymax,ymin
0.jpg,gs://b-ao-barc-vmd-hidden/d43afc52-b36d-4a4a-8a4b-eafe676b899a/vmd/asset/master/video/00:00:00.000_00:10:02.967/951b0eee-10cb-4f00-885d-eeaf48ec2c96.zip,emotion,07937576-a4f0-4228-89a9-7ad5ee69417d_0541011010960665,"{'others': 0.96718, 'angry': 0.02716, 'sad': 0.00377, 'blur': 0.00135, 'happy': 0.00044, 'object': 0.00011}",others,20200204_2_213004.886_220000.022.mp4,,1096,541,665,110
1.jpg,gs://b-ao-barc-vmd-hidden/d43afc52-b36d-4a4a-8a4b-eafe676b899a/vmd/asset/master/video/00:00:00.000_00:10:02.967/951b0eee-10cb-4f00-885d-eeaf48ec2c96.zip,,,{None: None},None,20200204_2_213004.886_220000.022.mp4,,,,,
2.jpg,gs://b-ao-barc-vmd-hidden/d43afc52-b36d-4a4a-8a4b-eafe676b899a/vmd/asset/master/video/00:00:00.000_00:10:02.967/951b0eee-10cb-4f00-885d-eeaf48ec2c96.zip,,,{None: None},None,20200204_2_213004.886_220000.022.mp4,,,,,
3.jpg,gs://b-ao-barc-vmd-hidden/d43afc52-b36d-4a4a-8a4b-eafe676b899a/vmd/asset/master/video/00:00:00.000_00:10:02.967/951b0eee-10cb-4f00-885d-eeaf48ec2c96.zip,,,{None: None},None,20200204_2_213004.886_220000.022.mp4,,,,,
4.jpg,gs://b-ao-barc-vmd-hidden/d43afc52-b36d-4a4a-8a4b-eafe676b899a/vmd/asset/master/video/00:00:00.000_00:10:02.967/951b0eee-10cb-4f00-885d-eeaf48ec2c96.zip,,,{None: None},None,20200204_2_213004.886_220000.022.mp4,,,,,
5.jpg,gs://b-ao-barc-vmd-hidden/d43afc52-b36d-4a4a-8a4b-eafe676b899a/vmd/asset/master/video/00:00:00.000_00:10:02.967/951b0eee-10cb-4f00-885d-eeaf48ec2c96.zip,,,{None: None},None,20200204_2_213004.886_220000.022.mp4,,,,,
6.jpg,gs://b-ao-barc-vmd-hidden/d43afc52-b36d-4a4a-8a4b-eafe676b899a/vmd/asset/master/video/00:00:00.000_00:10:02.967/951b0eee-10cb-4f00-885d-eeaf48ec2c96.zip,,,{None: None},None,20200204_2_213004.886_220000.022.mp4,,,,,
7.jpg,gs://b-ao-barc-vmd-hidden/d43afc52-b36d-4a4a-8a4b-eafe676b899a/vmd/asset/master/video/00:00:00.000_00:10:02.967/951b0eee-10cb-4f00-885d-eeaf48ec2c96.zip,,,{None: None},None,20200204_2_213004.886_220000.022.mp4,,,,,
8.jpg,gs://b-ao-barc-vmd-hidden/d43afc52-b36d-4a4a-8a4b-eafe676b899a/vmd/asset/master/video/00:00:00.000_00:10:02.967/951b0eee-10cb-4f00-885d-eeaf48ec2c96.zip,emotion,5d367d68-ca84-4e08-a576-df2ebbb74c8b_0810024612720708,"{'others': 0.87729, 'sad': 0.04827, 'blur': 0.04492, 'angry': 0.0227, 'object': 0.00348, 'happy': 0.00334}",others,20200204_2_213004.886_220000.022.mp4,,1272,810,708,246
9.jpg,gs://b-ao-barc-vmd-hidden/d43afc52-b36d-4a4a-8a4b-eafe676b899a/vmd/asset/master/video/00:00:00.000_00:10:02.967/951b0eee-10cb-4f00-885d-eeaf48ec2c96.zip,,,{None: None},None,20200204_2_213004.886_220000.022.mp4,,,,,
